,i,ppron,pronoun,negemo,adverb,anger,bio,cogmech,conj,sad,swear,affect,body,present,discrep,relativ,article,preps,posemo,space,time,funct,leisure,achieve,relig,social,incl,motion,we,auxverb
597f73a436bc98f32fdbf7b413706064,180.0,336.0,514.0,58.0,142.0,26.0,73.0,499.0,188.0,9.0,5.0,262.0,22.0,330.0,52.0,442.0,218.0,377.0,203.0,175.0,182.0,1795.0,42.0,47.0,17.0,342.0,134.0,73.0,17.0,289.0
59b5b8912d258bc58286a604d1e5e421,58.0,94.0,172.0,33.0,52.0,9.0,41.0,211.0,62.0,5.0,4.0,87.0,15.0,127.0,35.0,156.0,97.0,146.0,54.0,69.0,47.0,657.0,30.0,17.0,6.0,102.0,49.0,35.0,0.0,100.0
59b83862fefd4122effd658ed1f9a52a,19.0,48.0,75.0,11.0,30.0,2.0,18.0,63.0,18.0,4.0,1.0,42.0,6.0,50.0,7.0,82.0,26.0,57.0,31.0,27.0,41.0,253.0,5.0,9.0,2.0,54.0,8.0,14.0,1.0,39.0
5a101c5f310d164214e527722d0df685,180.0,370.0,570.0,119.0,244.0,42.0,167.0,625.0,253.0,30.0,17.0,376.0,88.0,365.0,73.0,636.0,267.0,456.0,252.0,280.0,265.0,2140.0,70.0,54.0,10.0,338.0,206.0,96.0,27.0,331.0
5a80a71753cd24c93a357266855d13ef,257.0,473.0,732.0,164.0,253.0,35.0,151.0,950.0,289.0,58.0,5.0,459.0,47.0,506.0,94.0,872.0,424.0,815.0,293.0,353.0,384.0,3126.0,63.0,108.0,26.0,461.0,201.0,132.0,25.0,464.0
5afc0d7f090cb4d9a668808ac57ebd12,0.0,9.0,11.0,3.0,2.0,0.0,4.0,20.0,7.0,2.0,0.0,12.0,0.0,16.0,3.0,18.0,3.0,7.0,9.0,3.0,11.0,54.0,0.0,3.0,0.0,13.0,2.0,3.0,1.0,16.0
5b1eb32579450829ec8faab4d3472ffb,94.0,139.0,179.0,65.0,113.0,27.0,77.0,358.0,130.0,17.0,15.0,238.0,36.0,234.0,49.0,618.0,207.0,495.0,170.0,230.0,288.0,1385.0,108.0,80.0,7.0,174.0,102.0,94.0,3.0,199.0
5b73fda4dc899e8b97fa3d72f2dd7ae5,915.0,1905.0,2748.0,748.0,925.0,419.0,867.0,2800.0,949.0,101.0,300.0,1534.0,309.0,1754.0,301.0,2360.0,1032.0,2059.0,776.0,1014.0,935.0,9415.0,237.0,196.0,74.0,1733.0,741.0,372.0,85.0,1339.0
5b95e89b1977edb9d2c5019c2fdf0adf,394.0,632.0,870.0,94.0,240.0,29.0,176.0,675.0,272.0,25.0,6.0,425.0,75.0,378.0,85.0,672.0,281.0,569.0,326.0,248.0,295.0,2649.0,87.0,51.0,26.0,477.0,225.0,112.0,29.0,333.0
5bc2ca97daf9ac35062d8cf92c4acb18,167.0,509.0,783.0,88.0,158.0,33.0,135.0,707.0,264.0,26.0,7.0,384.0,37.0,452.0,79.0,515.0,220.0,480.0,294.0,218.0,209.0,2402.0,34.0,99.0,16.0,643.0,162.0,76.0,41.0,379.0
5c31d7d80e78643cd5289acec0561d77,579.0,877.0,1273.0,193.0,400.0,74.0,168.0,1185.0,452.0,41.0,27.0,498.0,66.0,644.0,117.0,1106.0,491.0,924.0,305.0,447.0,488.0,4315.0,152.0,96.0,33.0,706.0,332.0,155.0,29.0,610.0
5c3a9dd0b0250d7771adc343f7cdb8e1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5c73047a8292131a9aa261cfa07932fd,21.0,48.0,55.0,9.0,19.0,2.0,23.0,72.0,28.0,2.0,1.0,56.0,5.0,49.0,16.0,70.0,34.0,66.0,47.0,24.0,38.0,253.0,14.0,5.0,5.0,59.0,20.0,8.0,2.0,41.0
5c7573236d80b308991b0417d954976a,147.0,261.0,379.0,58.0,109.0,13.0,106.0,435.0,132.0,24.0,4.0,167.0,33.0,206.0,50.0,296.0,94.0,233.0,108.0,130.0,112.0,1143.0,18.0,42.0,30.0,231.0,90.0,45.0,18.0,139.0
5cae5729864ff894d47e20afbe32c8a5,335.0,571.0,931.0,143.0,353.0,30.0,167.0,980.0,436.0,40.0,9.0,531.0,49.0,494.0,90.0,985.0,355.0,813.0,380.0,393.0,449.0,3397.0,124.0,90.0,32.0,569.0,290.0,114.0,31.0,434.0
5cb87ba2d48f5de9b907567fb9fb5317,459.0,712.0,1138.0,230.0,474.0,73.0,359.0,1459.0,522.0,42.0,29.0,672.0,102.0,740.0,180.0,1294.0,530.0,1114.0,431.0,563.0,522.0,4605.0,155.0,151.0,56.0,623.0,398.0,176.0,49.0,609.0
5cc136477bfe3fcfe809dc451e4243ef,159.0,250.0,404.0,49.0,116.0,10.0,53.0,387.0,133.0,16.0,4.0,156.0,26.0,243.0,58.0,397.0,150.0,295.0,106.0,146.0,175.0,1341.0,40.0,46.0,6.0,167.0,101.0,69.0,16.0,185.0
5d0cb65ba30962315955878fa9c34c50,72.0,129.0,180.0,50.0,52.0,22.0,26.0,162.0,63.0,7.0,3.0,95.0,10.0,98.0,27.0,147.0,57.0,111.0,45.0,46.0,73.0,563.0,11.0,22.0,2.0,110.0,27.0,23.0,1.0,87.0
5d386dee1362ddfc49576ccda8a80e80,65.0,76.0,95.0,12.0,25.0,7.0,22.0,63.0,21.0,0.0,0.0,40.0,7.0,54.0,10.0,67.0,34.0,53.0,27.0,25.0,37.0,275.0,7.0,6.0,0.0,51.0,10.0,5.0,1.0,45.0
5e34486308dfa39c91780a440632f724,73.0,125.0,217.0,49.0,79.0,11.0,24.0,235.0,75.0,14.0,1.0,164.0,9.0,155.0,27.0,236.0,93.0,139.0,115.0,61.0,134.0,778.0,22.0,30.0,5.0,116.0,41.0,34.0,12.0,140.0
5e374a05875fc102c5f33ed18c1e4af1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5e49c1efdf782f392b89c4e6c6f1530e,201.0,514.0,774.0,135.0,189.0,35.0,161.0,706.0,268.0,33.0,24.0,400.0,44.0,436.0,75.0,547.0,221.0,449.0,262.0,205.0,227.0,2366.0,32.0,69.0,16.0,530.0,164.0,96.0,43.0,360.0
5e58e13a371c45b44efcf60a630a992c,36.0,55.0,89.0,24.0,18.0,10.0,25.0,93.0,31.0,5.0,7.0,60.0,5.0,56.0,12.0,65.0,26.0,58.0,36.0,25.0,33.0,276.0,8.0,10.0,1.0,64.0,30.0,7.0,0.0,48.0
5e605ce37db3e58f493255ce861daf60,14.0,38.0,57.0,4.0,8.0,1.0,9.0,52.0,19.0,1.0,0.0,27.0,1.0,29.0,7.0,42.0,14.0,37.0,23.0,16.0,15.0,171.0,3.0,8.0,1.0,44.0,12.0,7.0,2.0,29.0
5edc878620364f1c30717717aa5cd328,346.0,470.0,745.0,212.0,305.0,98.0,217.0,1018.0,312.0,41.0,67.0,456.0,96.0,550.0,128.0,960.0,260.0,715.0,232.0,360.0,461.0,2913.0,108.0,101.0,20.0,347.0,215.0,119.0,16.0,420.0
5eece04154dd5143a59d30144e5dfc40,163.0,307.0,539.0,126.0,185.0,64.0,114.0,526.0,201.0,18.0,48.0,329.0,25.0,344.0,60.0,586.0,206.0,368.0,202.0,186.0,297.0,1841.0,58.0,79.0,14.0,247.0,135.0,84.0,42.0,264.0
5f25fed9db820d1ec52ee718d8bdd8c4,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
