,funct,article,verb,auxverb,social,family,friend,humans,affect,posemo,negemo,anx,anger,past,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,present,percept,see,hear,feel,bio,body,health,sexual,future,ingest,adverb,preps,conj,negate,pronoun,quant,number,swear,relativ,motion,space,time,ppron,work,achieve,leisure,home,money,relig,death,i,assent,nonfl,filler,we,you,shehe,they,ipron
0f0f2309e273495e1a909fab1c3859e6,446.0,39.0,112.0,45.0,123.0,4.0,2.0,14.0,91.0,42.0,49.0,2.0,31.0,29.0,9.0,125.0,12.0,19.0,14.0,22.0,16.0,6.0,33.0,19.0,69.0,30.0,15.0,8.0,5.0,36.0,6.0,14.0,14.0,9.0,3.0,43.0,75.0,58.0,5.0,181.0,16.0,2.0,18.0,94.0,10.0,37.0,43.0,139.0,11.0,8.0,5.0,4.0,9.0,5.0,3.0,77.0,5.0,3.0,6.0,5.0,45.0,9.0,3.0,42.0
0f5a74a52427ba6956749aff0076e527,1686.0,146.0,446.0,256.0,222.0,21.0,14.0,22.0,307.0,184.0,122.0,17.0,59.0,82.0,19.0,448.0,63.0,39.0,41.0,65.0,48.0,16.0,127.0,77.0,306.0,92.0,40.0,12.0,36.0,94.0,38.0,27.0,29.0,26.0,6.0,177.0,351.0,173.0,47.0,506.0,92.0,23.0,48.0,484.0,53.0,149.0,274.0,341.0,80.0,39.0,43.0,13.0,20.0,25.0,15.0,259.0,41.0,18.0,16.0,9.0,46.0,16.0,11.0,165.0
0fa20f622770259c44e0214336285a98,317.0,24.0,104.0,52.0,72.0,10.0,3.0,6.0,107.0,57.0,49.0,1.0,15.0,8.0,17.0,118.0,18.0,10.0,12.0,22.0,18.0,5.0,18.0,23.0,83.0,21.0,8.0,3.0,7.0,25.0,5.0,10.0,8.0,5.0,2.0,35.0,58.0,38.0,18.0,106.0,14.0,2.0,4.0,86.0,11.0,24.0,49.0,67.0,17.0,10.0,8.0,1.0,0.0,2.0,0.0,45.0,29.0,1.0,0.0,7.0,14.0,1.0,0.0,39.0
10770bffe400bd20e4a690242c624e9d,1629.0,177.0,470.0,264.0,211.0,5.0,13.0,17.0,223.0,132.0,89.0,9.0,34.0,80.0,25.0,562.0,89.0,61.0,67.0,80.0,56.0,31.0,123.0,85.0,317.0,84.0,31.0,19.0,32.0,85.0,24.0,34.0,7.0,27.0,20.0,194.0,373.0,166.0,66.0,370.0,85.0,27.0,12.0,589.0,62.0,192.0,322.0,246.0,103.0,49.0,48.0,32.0,12.0,8.0,9.0,135.0,22.0,5.0,11.0,12.0,52.0,25.0,22.0,124.0
10aef9f9c929fbfcffa58b68eda20dfb,92.0,31.0,13.0,12.0,21.0,0.0,0.0,0.0,29.0,14.0,15.0,3.0,10.0,0.0,0.0,19.0,2.0,0.0,0.0,2.0,3.0,3.0,7.0,1.0,13.0,5.0,0.0,1.0,3.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,18.0,5.0,7.0,16.0,2.0,0.0,5.0,29.0,4.0,9.0,16.0,12.0,12.0,4.0,17.0,8.0,2.0,2.0,3.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,6.0,4.0
10ddf33930090972d9d41ce0c2bf64e4,315.0,42.0,88.0,59.0,34.0,0.0,4.0,5.0,37.0,19.0,18.0,0.0,10.0,13.0,4.0,83.0,15.0,7.0,14.0,24.0,8.0,0.0,15.0,18.0,64.0,8.0,1.0,1.0,3.0,21.0,7.0,8.0,3.0,6.0,3.0,18.0,86.0,30.0,7.0,50.0,24.0,11.0,7.0,90.0,24.0,32.0,34.0,36.0,9.0,9.0,10.0,1.0,11.0,0.0,2.0,25.0,2.0,1.0,1.0,0.0,7.0,2.0,2.0,14.0
10f7981547a33d36f72a77b261ca9807,1038.0,120.0,217.0,101.0,81.0,8.0,6.0,10.0,165.0,99.0,66.0,12.0,28.0,51.0,8.0,303.0,29.0,19.0,32.0,44.0,43.0,14.0,96.0,48.0,131.0,41.0,15.0,8.0,11.0,72.0,34.0,15.0,10.0,12.0,18.0,87.0,268.0,107.0,17.0,282.0,66.0,21.0,21.0,332.0,48.0,136.0,142.0,217.0,26.0,33.0,46.0,27.0,20.0,5.0,3.0,186.0,22.0,2.0,6.0,6.0,16.0,5.0,4.0,65.0
10fd2ca32d15994064627281da72f5bd,178.0,7.0,39.0,28.0,46.0,0.0,2.0,3.0,12.0,8.0,3.0,0.0,0.0,1.0,1.0,52.0,6.0,7.0,6.0,9.0,10.0,2.0,7.0,10.0,27.0,3.0,1.0,2.0,0.0,8.0,1.0,1.0,6.0,6.0,0.0,6.0,42.0,13.0,3.0,78.0,6.0,0.0,0.0,26.0,0.0,14.0,12.0,55.0,1.0,4.0,1.0,0.0,1.0,5.0,0.0,28.0,1.0,0.0,1.0,3.0,22.0,2.0,0.0,23.0
1121bfb9e6876425059f940288c146bf,2645.0,200.0,784.0,396.0,300.0,6.0,12.0,28.0,346.0,219.0,126.0,18.0,43.0,124.0,31.0,718.0,101.0,66.0,139.0,127.0,33.0,30.0,178.0,135.0,542.0,106.0,42.0,17.0,44.0,106.0,39.0,47.0,4.0,41.0,20.0,292.0,675.0,292.0,74.0,715.0,111.0,40.0,6.0,939.0,161.0,298.0,464.0,483.0,93.0,103.0,45.0,34.0,25.0,4.0,27.0,376.0,27.0,24.0,10.0,18.0,38.0,22.0,29.0,232.0
112ee60f89b6ad8bef65ada86690db73,4200.0,420.0,1123.0,622.0,689.0,16.0,41.0,71.0,755.0,529.0,214.0,29.0,53.0,228.0,45.0,1187.0,172.0,80.0,125.0,230.0,134.0,35.0,307.0,217.0,753.0,238.0,97.0,50.0,68.0,248.0,73.0,88.0,48.0,54.0,42.0,436.0,844.0,484.0,84.0,1250.0,216.0,55.0,15.0,1328.0,258.0,443.0,590.0,904.0,130.0,145.0,213.0,34.0,20.0,18.0,9.0,611.0,159.0,51.0,32.0,46.0,188.0,31.0,28.0,346.0
